Task_Type,Prompt,Difficulty_Score
Math_Reasoning,"请解答以下数学题，并给出推导过程：
Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",0.0392
Math_Reasoning,"请解答以下数学题，并给出推导过程：
Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",0.0602
Math_Reasoning,"请解答以下数学题，并给出推导过程：
Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",0.0958
Math_Reasoning,"请解答以下数学题，并给出推导过程：
Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",0.0613
Math_Reasoning,"请解答以下数学题，并给出推导过程：
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?",0.0437
Math_Reasoning,"请解答以下数学题，并给出推导过程：
Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",0.0598
Math_Reasoning,"请解答以下数学题，并给出推导过程：
Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",0.0835
Math_Reasoning,"请解答以下数学题，并给出推导过程：
Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",0.0963
Math_Reasoning,"请解答以下数学题，并给出推导过程：
Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",0.1063
Math_Reasoning,"请解答以下数学题，并给出推导过程：
Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",0.0371
Math_Reasoning,"请解答以下数学题，并给出推导过程：
A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?",0.0973
